hotelName,hotelInformationUrl,hotelMinCharge,telephoneNo,reviewAverage
ホテルロイヤルオリオン,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=2906,2500,098-866-5533,4.56
パシフィックホテル沖縄,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=56315,2079,098-868-5162,4.37
ＯＫＩＮＡＷＡ　ＫＡＲＩＹＵＳＨＩ　ＲＥＳＯＲＴ　ＥＸＥＳ　ＮＡＨＡ（エグゼス那覇）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=171943,8000,098-860-3300,4.76
西鉄リゾートイン那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=130025,3000,098-869-5454,4.23
ホテルルートイン那覇泊港,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=56974,3550,098-866-0700,4.32
ホテル　アンテルーム那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177913,3067,098-860-5151,4.64
那覇ウエスト・イン,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=72693,1496,098-862-0048,4.47
ホテルエアウェイ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=753,2325,098-864-0511,4.46
ホテル　ロコイン沖縄,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=15963,2550,098-869-6511,4.28
ＨＯＴＥＬ　ＭＡＲＵＫＩ　（県庁前駅）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=19850,550,098-862-6135,4.24
ワイズイン那覇小禄駅前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=180993,2000,098-859-7029,4.48
ホテルランタナ那覇国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176688,2200,098-862-3211,4.48
那覇ビーチサイドホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=14996,2400,098-862-2300,4.22
コンドミニオマキシ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=145325,2250,070-5489-1650,4.58
ホテル　ペスカトーレ沖縄,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165035,1600,098-894-8847,4.85
ホテル・トリフィート那覇旭橋,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172985,1700,098-860-6430,4.5
スマイルホテル沖縄那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=67438,2400,098-866-8100,4.02
ＨＯＴＥＬ　ＳｔｏＲＫ　那覇新都心,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=73885,1190,098-941-2920,4.28
かりゆしコンドミニアムリゾート那覇　龍神ホテル浮島,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181339,2600,098-967-7112,4.47
ＧＲＧホテル那覇東町,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=41401,2850,098-862-7200,4.08
ホテルアベスト那覇国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=146927,2520,098-943-5800,4.26
グリーンリッチホテル那覇　人工温泉・二股湯の華,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172254,2500,098-863-2400,4.19
ＧＲＧホテル那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=16693,2900,098-868-6100,4.59
ＰＲＯＳＴＹＬＥ　ＴＥＲＲＡＣＥ　ＮＡＨＡ（プロスタイル　テラス　ナハ）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182862,3600,098-988-4860,4.73
ホテル　グランビュー沖縄,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=29924,3500,098-859-4890,4.2
Ｒａｋｕｔｅｎ　ＳＴＡＹ　那覇泊ふ頭,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=170211,920,03-4405-0568,4.32
ザ・ナハテラス,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=5648,11435,098-864-1111,5.0
コンドミニオマキシ　アネッソ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=160915,2000,080-4312-1657,4.65
エスティネートホテル那覇（ＥＳＴＩＮＡＴＥ　ＨＯＴＥＬ　那覇）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=149249,2000,098-943-4900,4.22
Ｒａｋｕｔｅｎ　ＳＴＡＹ　那覇　やちむん通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=170488,800,050-5358-5311,4.23
沖縄ナハナ・ホテル＆スパ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=67389,1898,098-866-0787,4.33
ホテルリブマックスＢＵＤＧＥＴ那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=136129,1250,098-868-0111,3.04
リブレガーデンホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=40689,2830,098-869-3333,4.17
ティサージホテル那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165239,1534,098-861-1122,4.22
ホテルルートイン那覇旭橋駅東,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=15424,3900,098-860-8311,3.92
ホテルブライオン那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=27883,2750,098-868-1600,4.44
スーパーホテル那覇・新都心,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=70884,2410,098-861-9000,4.36
ＫＡＲＩＹＵＳＨＩ　ＬＣＨ．Ｉｚｕｍｉｚａｋｉ　県庁前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=144936,2490,098-866-1200,3.8
ホテルアートステイ那覇国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=73895,3090,098-861-7070,4.12
ホテルアザット那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=68091,2200,098-863-0888,4.2
ホテル　サン沖縄,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=7766,2530,098-866-1111,4.83
ホテル　オーシャン（那覇国際通り）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=78126,1899,098-863-2288,4.53
ＯＭＯ５沖縄那覇　ｂｙ　星野リゾート,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181957,2900,0570-073-099,3.82
ダブルツリーｂｙヒルトン那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=70304,4810,098-862-0123,4.33
ＣＯＭＭＵＮＩＴＹ＆ＳＰＡ　那覇セントラルホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=196,3080,098-862-6070,3.39
ホテルサンパレス球陽館,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=555,2640,098-863-4181,4.45
クリアスホテル壺川マルシェ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165909,1820,098-851-3944,4.79
南西観光ホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=11259,2000,098-862-7144,4.0
Ｒａｋｕｔｅｎ　ＳＴＡＹ　那覇美栄橋,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=169899,900,03-4405-0568,3.89
エナジックホテル山市　Ｅｎａｇｉｃ　ＨＯＴＥＬ　ＹＡＭＡＩＣＨＩ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=180670,1925,098-866-5421,4.05
Ｎｅｗ　Ｎｏｒｍａｌ　Ｈｏｔｅｌ　ｉｎ　ＭＡＴＳＵＹＡＭＡ（ニューノーマルホテルイン松山）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183142,1500,098-894-4704,4.4
ホテルユクエスタ旭橋駅前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=16234,2640,098-866-0600,4.42
ホテルリブマックスＢＵＤＧＥＴ那覇松山,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181240,1250,098-862-0810,3.52
チャビラホテル那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=73933,2695,098-840-1000,3.85
ワイズキャビン＆ホテル那覇国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=166949,1600,098-869-5137,4.48
Ｌｉｔｔｌｅ　Ｉｓｌａｎｄ　Ｏｋｉｎａｗａ　松山,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177772,2200,098-880-2570,3.0
HOTEL　COCO新都心,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=72784,1700,098-863-7500,4.11
ホテル　ロコイン松山,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=626,2300,098-869-6565,3.93
ダブルツリーｂｙヒルトン那覇首里城,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=14113,3915,098-886-5454,3.47
東横イン那覇新都心おもろまち,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=52723,3225,098-863-1045,4.13
Ｍｒ．ＫＩＮＪＯ　ｉｎ　ＳＡＫＡＥＭＡＣＨＩ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168288,,098-987-6671,4.38
Ｈｏｔｅｌ　Ｖｉｖｉａｎａ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176542,5500,098-975-9075,4.75
Ｍｒ．ＫＩＮＪＯ　旭橋駅前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167143,1860,098-917-6367,4.4
Ｎｅｗ　Ｎｏｒｍａｌ　Ｈｏｔｅｌ　ｉｎ　ＮＡＭＩＮＯＵＥ（ニューノーマルホテルイン波の上）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183143,1440,098-894-4353,4.38
ホテル　ピースランド久米,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=39414,2000,098-860-6070,4.67
プロスタイル旅館　那覇県庁前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182305,2900,098-917-1629,4.81
スマートコンド泊,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167250,3100,098-988-3771,5.0
ホテルリソルトリニティ那覇（２０２２年４月１日オープン）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182884,2500,098-863-9269,4.73
沖縄オリエンタルホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=881,1300,098-868-0883,3.85
Ｈｏｔｅｌ　Ｃｏｃｋｔａｉｌ　Ｓｔａｙ　Ｎａｈａ（２０２１年４月開業）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178226,2200,098-860-7201,4.05
琉球サンロイヤルホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=18415,2080,098-862-3811,3.24
テラスリゾート　新都心,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=153127,1620,0120-330-885,4.29
かりゆしコンドミニアムリゾート那覇　グランステイ旭橋駅前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179591,3500,098-967-7112,4.0
アルファベッドイン那覇国際通りＥＡＳＴ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183254,1800,050-5212-7664,4.21
ＨＯＴＥＬ　ＰＲＥＣＩＡ　（ホテル　プレシア）　那覇辻町,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=158381,1288,098-864-2111,4.0
ＣＡＢＩＮ＆ＨＯＴＥＬ　ＲｅＴＩＭＥ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176712,1440,098-861-1810,4.41
ホテルリブマックスＢＵＤＧＥＴ那覇泊港,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=147591,1250,098-868-4100,3.11
Ｌｉｔｔｌｅ　Ｉｓｌａｎｄ　Ｏｋｉｎａｗａ　久茂地,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182369,2440,098-989-7617,4.23
ＮＡＨＡ新都心ＨＯＴＥＬ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183573,2000,098-894-8558,4.67
ウィークリー（デイリー）ハーバービューマンション,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=72030,1750,098-855-8111,3.0
ホテルランタナ那覇松山,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177516,2000,098-917-6106,4.0
Ｍｒ．ＫＩＮＪＯ　Ｅｍｉｎｅｎｃｅ　ｉｎｎ　Ｍａｋｉｓｈｉ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=149417,1650,098-917-6262,3.25
ホテルパークスタジアム那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=20370,2500,098-859-9000,4.11
旅の宿　らくちん,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=37432,1500,098-868-6302,4.8
ホテル　タイラ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=12551,1770,098-868-4515,4.0
Ｂｅｓｔ　ｅｖｅｒ　ｈｏｔｅｌ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182395,2031,098-989-7617,5.0
Ｔ－ＳＴＹＬＥ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167691,1380,098-917-1780,2.0
レンブラントスタイル那覇（２０２２年４月２１日オープン）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183302,1932,098-975-9110,3.33
Ｌｉｔｔｌｅ　Ｉｓｌａｎｄ　Ｏｋｉｎａｗａ　泊,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165736,1550,098-866-5609,4.33
サンキョウビジネスホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=135890,2100,098-867-5041,3.94
コンドミニアムＧＯＬＦＧＯＬＦ壺屋（旧ホワイトテラス壺屋）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167076,2610,098-987-1789,4.0
ＲＪホテル那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=164831,2500,098-866-1011,4.38
ホテル　オロックス（ＨＯＴＥＬＯＲＯＸ）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=153341,1792,098-851-3712,3.67
沖縄の宿　ふぁみり〜ｉｎｎ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=166493,1900,070-5277-8538,4.13
東横イン那覇おもろまち駅前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=78191,3650,098-862-1045,4.0
ホテル　サン・クイーン（那覇／国際通り沿い）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=52511,2140,098-869-6600,4.0
ＢｉＢｉ　Ｈｏｔｅｌ　国際通り店,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177702,2200,098-988-8791,4.17
サンセットヒルズイン那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167835,2835,098-869-6388,3.6
あさひ２１　旭橋駅前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=108175,2500,098-867-0339,4.67
ＣＡＢＩＮ＆ＨＯＴＥＬ　ＣＯＮＳＴＡＮＴ　ＮＡＨＡ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183572,1900,098-869-0701,4.0
ホテル山の内,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=10959,2816,098-862-5301,4.3
Ｍｒ．ＫＩＮＪＯ　ｉｎ　ＨＡＩＢＩＳＵ西町,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182695,1710,098-917-1652,3.0
コンドミニアム　エルズイン　那覇樋川　ｂｙ　コルディオプレミアム,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=166044,1930,098-923-1420,4.33
Ｈｏｔｅｌ　Ｂｒｉｃｋ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182735,2750,098-917-5391,4.0
Ｍｒ．ＫＩＮＪＯ　ｉｎ　Ｍｉｅｇｕｓｕｋｕ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=180309,1530,098-894-8966,3.67
Ｍｒ．ＫＩＮＪＯＭｉｋｉ２４ｉｎ牧志駅前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178486,,098-988-1762,3.6
マンゴーリゾート沖縄那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179596,1210,098-943-9449,4.0
ホテルニューおきなわ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=28122,3600,098-867-7200,5.0
ＨＯＴＥＬ　ＵＭＩＺＯＬＡ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=151211,1388,098-894-3597,1.0
ホテル国際プラザ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=28123,300,098-862-4243,3.5
ＨＯＴＥＬ　ＣｈｕｌａＶｉｓｔａ　ＳＥＮＡＧＡ　（ホテルチュラビスタ瀬長）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178283,2520,098-989-7617,4.67
Ｍｒ．ＫＩＮＪＯ　ｉｎ　ＭＩＥＢＡＳＨＩ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165990,1450,098-917-2416,3.86
個室ホステル美らキャビン,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168674,1500,098-894-8981,3.91
シーサー・イン那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1623,3300,098-861-4311,4.5
ＢｉＢｉ　Ｈｏｔｅｌ　ＮＡＨＡ　ＫＵＭＥ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183233,1176,098-917-0920,4.33
グランドキャビンホテル那覇小禄,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=171977,1900,098-851-4990,4.31
Ｍｒ．ＫＩＮＪＯ　ＶＩＯＬＥＴＴＥ空港前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=149418,2790,098-996-5241,4.0
ホテル沖縄　ｗｉｔｈ　サンリオキャラクターズ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177099,4100,098-866-0011,3.5
アクロスおもろまち那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167200,1480,098-884-7865,0.0
東横イン那覇国際通り美栄橋駅,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=54087,3650,098-867-1045,4.5
Ｍｒ．ＫＩＮＪＯｉｎＳｙａｎｔｉＶａｎ壺川駅,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167142,1755,098-851-3803,4.25
テンポイントホテル：コンドミニアムＯＫＯＵ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179231,1700,098-861-0358,4.8
Ｍｒ．ＫＩＮＪＯ　ｉｎ　ＮＡＨＡ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176605,,098-917-1725,4.0
Ｇ‐ＲＡＴＩＳ　ＯＭＯＲＯＭＡＣＨＩ（グラティスオモロマチ）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165197,2810,050-5216-6211,5.0
沖縄ホテルコンチネンタル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=142912,390,098-868-1143,2.8
ルートイングランティア那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=7589,3000,098-860-0771,4.27
シティコンド　ジョイントホーム那覇　ｂｙ　コルディオプレミアム,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176731,14280,098-923-1420,
プチスイート崇元寺石門,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181247,4200,098-963-9320,4.8
Ｍｒ．ＫＩＮＪＯｉｎＡｉｒｐｏｒｔ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167635,1980,098-851-3951,5
Ｍｒ．ＫＩＮＪＯ　ｉｎｎ　Ｄ－ｂｕｉｌ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=160824,1800,098-943-8512,5
Ｔｏｗｅｌ　Ｈｏｔｅｌ　Ｎａｈａ　タオル　ホテル　那覇　県庁南口,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182380,3300,098-858-3515,
コンドミニアム　ｆｅｌｉｃｉｔａ　那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165106,3000,098-894-8986,5
Ｍｒ．ＫＩＮＪＯ　ＬＩＮＫｉｎＫｕｍｅＮＡＨＡ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177934,,098-963-9285,4.14
ＫＩＮＴＡＲＯ　ＨＯＴＥＬ　沖縄那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172239,1072,03-6822-3598,3
国際タウンズイン,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=84787,2295,098-860-1236,0
かりゆしコンドミニアムリゾート那覇　スカイ・リビングホテル旭橋駅前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=180091,1800,098-862-1212,
アルファベッドイン那覇国際通りＷＥＳＴ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182582,2200,050-5212-7664,4.19
沖縄ゲストハウスＧＲＡＮＤ那覇（グランナハ）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=149061,1200,098-917-4946,4.25
